*********************************************************************************************
PROCESO DE SALDADO DE REMANENTES
*********************************************************************************************
---------------------------------------------------------------------------------------------
Área Corregida           FACTURAS TIENDAS
Fecha y Hora de Inicio:  2020-12-21 14:41:44
---------------------------------------------------------------------------------------------
Comienza con Este proceso elimina pequeños saldos pendientes en documentos para que ya no
aparezcan como documentos con saldos pendientes, el proceso recupera los documentos en el
rango de fechas con un pendiente menor o igual al monto Termina con pendiente a eliminar
y los salda con documentos creados para este propósito.
---------------------------------------------------------------------------------------------
Para la realización de este proceso el usuario eligió las siguientes opciones:


Fecha Inicial de la eliminación:2020-01-01

Fecha Final de la eliminación:2020-11-30

Monto pendiente a eliminar:1.00 PESO MEXICANO


                                   				DOCUMENTOS CREADOS CON EL AJUSTE


SERIE AJUSTE    FOLIO AJUSTE    SALDO AJUSTADO    SERIE FACTURA    FOLIO FACTURA    ABONADO    PENDIENTE    FECHA ABONO         CONCEPTO ABONO
AJSG            29                -58.37             FASG             11886            -0.4       0            2020-12-21 14:42:04  ABONO CLIENTE / AJUSTE SALDO

AJSG            29                -58.37             FASG             11896            -0.01       0            2020-12-21 14:42:05  ABONO CLIENTE / AJUSTE SALDO

AJSG            29                -58.37             FASG             11897            0.47       0            2020-12-21 14:42:05  ABONO CLIENTE / AJUSTE SALDO

AJSG            29                -58.37             FASG             11912            -0.7       0            2020-12-21 14:42:05  ABONO CLIENTE / AJUSTE SALDO

AJSG            29                -58.37             FASG             11937            0.04       0            2020-12-21 14:42:06  ABONO CLIENTE / AJUSTE SALDO

AJSG            29                -58.37             FASG             11956            -0.68       0            2020-12-21 14:42:06  ABONO CLIENTE / AJUSTE SALDO

AJSG            29                -58.37             FASG             11974            -0.1       0            2020-12-21 14:42:07  ABONO CLIENTE / AJUSTE SALDO

AJSG            29                -58.37             FASG             11976            0.08       0            2020-12-21 14:42:07  ABONO CLIENTE / AJUSTE SALDO

AJSG            29                -58.37             FASG             11987            -0.22       0            2020-12-21 14:42:08  ABONO CLIENTE / AJUSTE SALDO

AJSG            29                -58.37             FASG             11988            -0.01       0            2020-12-21 14:42:08  ABONO CLIENTE / AJUSTE SALDO

AJSG            29                -58.37             FASG             11991            0.25       0            2020-12-21 14:42:09  ABONO CLIENTE / AJUSTE SALDO

AJSG            29                -58.37             FASG             11995            0.15       0            2020-12-21 14:42:09  ABONO CLIENTE / AJUSTE SALDO

AJSG            29                -58.37             FASG             11998            -0.11       0            2020-12-21 14:42:10  ABONO CLIENTE / AJUSTE SALDO

AJSG            29                -58.37             FASG             12000            -0.42       0            2020-12-21 14:42:10  ABONO CLIENTE / AJUSTE SALDO

AJSG            29                -58.37             FASG             12005            -0.06       0            2020-12-21 14:42:11  ABONO CLIENTE / AJUSTE SALDO

AJSG            29                -58.37             FASG             12007            -0.02       0            2020-12-21 14:42:11  ABONO CLIENTE / AJUSTE SALDO

AJSG            29                -58.37             FASG             12008            -0.11       0            2020-12-21 14:42:12  ABONO CLIENTE / AJUSTE SALDO

AJSG            29                -58.37             FASG             12010            -0.1       0            2020-12-21 14:42:12  ABONO CLIENTE / AJUSTE SALDO

AJSG            29                -58.37             FASG             12013            -0.48       0            2020-12-21 14:42:13  ABONO CLIENTE / AJUSTE SALDO

AJSG            29                -58.37             FASG             12016            -0.62       0            2020-12-21 14:42:13  ABONO CLIENTE / AJUSTE SALDO

AJSG            29                -58.37             FASG             12017            -1.08       0            2020-12-21 14:42:14  ABONO CLIENTE / AJUSTE SALDO

AJSG            29                -58.37             FASG             12018            -0.78       0            2020-12-21 14:42:14  ABONO CLIENTE / AJUSTE SALDO

AJSG            29                -58.37             FASG             12025            -0.8       0            2020-12-21 14:42:14  ABONO CLIENTE / AJUSTE SALDO

AJSG            29                -58.37             FASG             12026            -0.4       0            2020-12-21 14:42:15  ABONO CLIENTE / AJUSTE SALDO

AJSG            29                -58.37             FASG             12030            0.01       0            2020-12-21 14:42:15  ABONO CLIENTE / AJUSTE SALDO

AJSG            29                -58.37             FASG             12038            0.22       0            2020-12-21 14:42:16  ABONO CLIENTE / AJUSTE SALDO

AJSG            29                -58.37             FASG             12039            0.3       0            2020-12-21 14:42:16  ABONO CLIENTE / AJUSTE SALDO

AJSG            29                -58.37             FASG             12061            -0.01       0            2020-12-21 14:42:17  ABONO CLIENTE / AJUSTE SALDO

AJSG            29                -58.37             FASG             12069            -0.16       0            2020-12-21 14:42:17  ABONO CLIENTE / AJUSTE SALDO

AJSG            29                -58.37             FASG             12070            -0.3       0            2020-12-21 14:42:18  ABONO CLIENTE / AJUSTE SALDO

AJSG            29                -58.37             FASG             12071            0.89       0            2020-12-21 14:42:18  ABONO CLIENTE / AJUSTE SALDO

AJSG            29                -58.37             FASG             12081            0.21       0            2020-12-21 14:42:19  ABONO CLIENTE / AJUSTE SALDO

AJSG            29                -58.37             FASG             12092            -0.49       0            2020-12-21 14:42:19  ABONO CLIENTE / AJUSTE SALDO

AJSG            29                -58.37             FASG             12097            0.01       0            2020-12-21 14:42:20  ABONO CLIENTE / AJUSTE SALDO

AJSG            29                -58.37             FASG             12101            -0.01       0            2020-12-21 14:42:20  ABONO CLIENTE / AJUSTE SALDO

AJSG            29                -58.37             FASG             12128            0.11       0            2020-12-21 14:42:21  ABONO CLIENTE / AJUSTE SALDO

AJSG            29                -58.37             FASG             12132            -0.6       0            2020-12-21 14:42:21  ABONO CLIENTE / AJUSTE SALDO

AJSG            29                -58.37             FASG             12136            -0.11       0            2020-12-21 14:42:22  ABONO CLIENTE / AJUSTE SALDO

AJSG            29                -58.37             FASG             12140            0.24       0            2020-12-21 14:42:22  ABONO CLIENTE / AJUSTE SALDO

AJSG            29                -58.37             FASG             12141            0.21       0            2020-12-21 14:42:23  ABONO CLIENTE / AJUSTE SALDO

AJSG            29                -58.37             FASG             12142            0.11       0            2020-12-21 14:42:23  ABONO CLIENTE / AJUSTE SALDO

AJSG            29                -58.37             FASG             12146            0.04       0            2020-12-21 14:42:24  ABONO CLIENTE / AJUSTE SALDO

AJSG            29                -58.37             FASG             12148            -0.81       0            2020-12-21 14:42:24  ABONO CLIENTE / AJUSTE SALDO

AJSG            29                -58.37             FASG             12154            0.21       0            2020-12-21 14:42:24  ABONO CLIENTE / AJUSTE SALDO

AJSG            29                -58.37             FASG             12156            0.1       0            2020-12-21 14:42:25  ABONO CLIENTE / AJUSTE SALDO

AJSG            29                -58.37             FASG             12160            0.22       0            2020-12-21 14:42:25  ABONO CLIENTE / AJUSTE SALDO

AJSG            29                -58.37             FASG             12164            -0.63       0            2020-12-21 14:42:26  ABONO CLIENTE / AJUSTE SALDO

AJSG            29                -58.37             FASG             12166            -0.3       0            2020-12-21 14:42:26  ABONO CLIENTE / AJUSTE SALDO

AJSG            29                -58.37             FASG             12177            0.21       0            2020-12-21 14:42:27  ABONO CLIENTE / AJUSTE SALDO

AJSG            29                -58.37             FASG             12179            -0.33       0            2020-12-21 14:42:27  ABONO CLIENTE / AJUSTE SALDO

AJSG            29                -58.37             FASG             12182            -0.06       0            2020-12-21 14:42:28  ABONO CLIENTE / AJUSTE SALDO

AJSG            29                -58.37             FASG             12187            -0.47       0            2020-12-21 14:42:28  ABONO CLIENTE / AJUSTE SALDO

AJSG            29                -58.37             FASG             12193            -0.2       0            2020-12-21 14:42:29  ABONO CLIENTE / AJUSTE SALDO
