*********************************************************************************************
PROCESO DE SALDADO DE REMANENTES
*********************************************************************************************
---------------------------------------------------------------------------------------------
Área Corregida           FACTURAS TIENDAS
Fecha y Hora de Inicio:  2020-05-02 12:16:16
---------------------------------------------------------------------------------------------
Comienza con Este proceso elimina pequeños saldos pendientes en documentos para que ya no
aparezcan como documentos con saldos pendientes, el proceso recupera los documentos en el
rango de fechas con un pendiente menor o igual al monto Termina con pendiente a eliminar
y los salda con documentos creados para este propósito.
---------------------------------------------------------------------------------------------
Para la realización de este proceso el usuario eligió las siguientes opciones:


Fecha Inicial de la eliminación:2020-03-01

Fecha Final de la eliminación:2020-04-30

Monto pendiente a eliminar:1 PESO MEXICANO


                                   				DOCUMENTOS CREADOS CON EL AJUSTE


SERIE AJUSTE    FOLIO AJUSTE    SALDO AJUSTADO    SERIE FACTURA    FOLIO FACTURA    ABONADO    PENDIENTE    FECHA ABONO         CONCEPTO ABONO


AJSG            3                -4.7             FASG             9413            0.01       0            2020-05-02 12:16:16  ABONO CLIENTE / AJUSTE SALDO

AJSG            3                -4.7             FASG             9527            -0.1       0            2020-05-02 12:16:16  ABONO CLIENTE / AJUSTE SALDO

AJSG            3                -4.7             FASG             9531            0.15       0            2020-05-02 12:16:17  ABONO CLIENTE / AJUSTE SALDO

AJSG            3                -4.7             FASG             9524            -0.13       0            2020-05-02 12:16:17  ABONO CLIENTE / AJUSTE SALDO

AJSG            3                -4.7             FASG             9526            0.11       0            2020-05-02 12:16:17  ABONO CLIENTE / AJUSTE SALDO

AJSG            3                -4.7             FASG             9530            0.05       0            2020-05-02 12:16:17  ABONO CLIENTE / AJUSTE SALDO

AJSG            3                -4.7             FASG             9521            -0.46       0            2020-05-02 12:16:17  ABONO CLIENTE / AJUSTE SALDO

AJSG            3                -4.7             FASG             9763            0.96       0            2020-05-02 12:16:17  ABONO CLIENTE / AJUSTE SALDO

AJSG            3                -4.7             FASG             9801            -0.09       0            2020-05-02 12:16:18  ABONO CLIENTE / AJUSTE SALDO

AJSG            3                -4.7             FASG             9802            -0.55       0            2020-05-02 12:16:18  ABONO CLIENTE / AJUSTE SALDO

AJSG            3                -4.7             FASG             9817            -0.01       0            2020-05-02 12:16:18  ABONO CLIENTE / AJUSTE SALDO

AJSG            3                -4.7             FASG             9842            0.3       0            2020-05-02 12:16:18  ABONO CLIENTE / AJUSTE SALDO

AJSG            3                -4.7             FASG             9837            0.19       0            2020-05-02 12:16:18  ABONO CLIENTE / AJUSTE SALDO

AJSG            3                -4.7             FASG             9839            -0.59       0            2020-05-02 12:16:19  ABONO CLIENTE / AJUSTE SALDO

AJSG            3                -4.7             FASG             9856            -0.1       0            2020-05-02 12:16:19  ABONO CLIENTE / AJUSTE SALDO

AJSG            3                -4.7             FASG             9861            0.38       0            2020-05-02 12:16:19  ABONO CLIENTE / AJUSTE SALDO

AJSG            3                -4.7             FASG             9853            0.43       0            2020-05-02 12:16:19  ABONO CLIENTE / AJUSTE SALDO

AJSG            3                -4.7             FASG             9854            0.1       0            2020-05-02 12:16:19  ABONO CLIENTE / AJUSTE SALDO

