*********************************************************************************************
PROCESO DE SALDADO DE REMANENTES
*********************************************************************************************
---------------------------------------------------------------------------------------------
Área Corregida           FACTURAS TIENDAS
Fecha y Hora de Inicio:  2020-06-08 14:41:33
---------------------------------------------------------------------------------------------
Comienza con Este proceso elimina pequeños saldos pendientes en documentos para que ya no
aparezcan como documentos con saldos pendientes, el proceso recupera los documentos en el
rango de fechas con un pendiente menor o igual al monto Termina con pendiente a eliminar
y los salda con documentos creados para este propósito.
---------------------------------------------------------------------------------------------
Para la realización de este proceso el usuario eligió las siguientes opciones:


Fecha Inicial de la eliminación:2020-03-01

Fecha Final de la eliminación:2020-05-31

Monto pendiente a eliminar:1.0 PESO MEXICANO


                                   				DOCUMENTOS CREADOS CON EL AJUSTE


SERIE AJUSTE    FOLIO AJUSTE    SALDO AJUSTADO    SERIE FACTURA    FOLIO FACTURA    ABONADO    PENDIENTE    FECHA ABONO         CONCEPTO ABONO


AJSG            6                -19.91             FASG             10147            0.01       0            2020-06-08 14:41:33  ABONO CLIENTE / AJUSTE SALDO

AJSG            6                -19.91             FASG             10146            -0.49       0            2020-06-08 14:41:33  ABONO CLIENTE / AJUSTE SALDO

AJSG            6                -19.91             FASG             10143            0.02       0            2020-06-08 14:41:33  ABONO CLIENTE / AJUSTE SALDO

AJSG            6                -19.91             FASG             10165            -0.6       0            2020-06-08 14:41:34  ABONO CLIENTE / AJUSTE SALDO

AJSG            6                -19.91             FASG             10167            0.3       0            2020-06-08 14:41:34  ABONO CLIENTE / AJUSTE SALDO

AJSG            6                -19.91             FASG             10177            -0.1       0            2020-06-08 14:41:34  ABONO CLIENTE / AJUSTE SALDO

AJSG            6                -19.91             FASG             10187            -0.01       0            2020-06-08 14:41:34  ABONO CLIENTE / AJUSTE SALDO

AJSG            6                -19.91             FASG             10212            -0.44       0            2020-06-08 14:41:34  ABONO CLIENTE / AJUSTE SALDO

AJSG            6                -19.91             FASG             10200            -0.11       0            2020-06-08 14:41:35  ABONO CLIENTE / AJUSTE SALDO

AJSG            6                -19.91             FASG             10227            0.36       0            2020-06-08 14:41:35  ABONO CLIENTE / AJUSTE SALDO

AJSG            6                -19.91             FASG             10229            -1       0            2020-06-08 14:41:35  ABONO CLIENTE / AJUSTE SALDO

AJSG            6                -19.91             FASG             10220            -0.48       0            2020-06-08 14:41:35  ABONO CLIENTE / AJUSTE SALDO

AJSG            6                -19.91             FASG             10216            -0.4       0            2020-06-08 14:41:36  ABONO CLIENTE / AJUSTE SALDO

AJSG            6                -19.91             FASG             10214            -0.01       0            2020-06-08 14:41:36  ABONO CLIENTE / AJUSTE SALDO

AJSG            6                -19.91             FASG             10219            -0.21       0            2020-06-08 14:41:36  ABONO CLIENTE / AJUSTE SALDO

AJSG            6                -19.91             FASG             10215            -0.1       0            2020-06-08 14:41:36  ABONO CLIENTE / AJUSTE SALDO

AJSG            6                -19.91             FASG             10231            0.21       0            2020-06-08 14:41:36  ABONO CLIENTE / AJUSTE SALDO

AJSG            6                -19.91             FASG             10241            0.48       0            2020-06-08 14:41:37  ABONO CLIENTE / AJUSTE SALDO

