*********************************************************************************************
PROCESO DE SALDADO DE REMANENTES
*********************************************************************************************
---------------------------------------------------------------------------------------------
Área Corregida           FACTURAS TIENDAS
Fecha y Hora de Inicio:  2020-12-21 14:47:05
---------------------------------------------------------------------------------------------
Comienza con Este proceso elimina pequeños saldos pendientes en documentos para que ya no
aparezcan como documentos con saldos pendientes, el proceso recupera los documentos en el
rango de fechas con un pendiente menor o igual al monto Termina con pendiente a eliminar
y los salda con documentos creados para este propósito.
---------------------------------------------------------------------------------------------
Para la realización de este proceso el usuario eligió las siguientes opciones:


Fecha Inicial de la eliminación:2020-01-01

Fecha Final de la eliminación:2020-11-30

Monto pendiente a eliminar:1.00 PESO MEXICANO


                                   				DOCUMENTOS CREADOS CON EL AJUSTE


SERIE AJUSTE    FOLIO AJUSTE    SALDO AJUSTADO    SERIE FACTURA    FOLIO FACTURA    ABONADO    PENDIENTE    FECHA ABONO         CONCEPTO ABONO


AJCP            30                -0.99             FACP             18534            0.01       0            2020-12-21 14:47:05  ABONO CLIENTE / AJUSTE SALDO

AJCP            30                -0.99             FACP             18541            0.01       0            2020-12-21 14:47:05  ABONO CLIENTE / AJUSTE SALDO

AJCP            30                -0.99             FACP             18542            0.01       0            2020-12-21 14:47:06  ABONO CLIENTE / AJUSTE SALDO

AJCP            30                -0.99             FACP             18543            -1       0            2020-12-21 14:47:06  ABONO CLIENTE / AJUSTE SALDO

AJCP            30                -0.99             FACP             18549            0.41       0            2020-12-21 14:47:06  ABONO CLIENTE / AJUSTE SALDO

AJCP            30                -0.99             FACP             18555            0.01       0            2020-12-21 14:47:07  ABONO CLIENTE / AJUSTE SALDO

AJCP            30                -0.99             FACP             18559            0.02       0            2020-12-21 14:47:07  ABONO CLIENTE / AJUSTE SALDO

AJCP            30                -0.99             FACP             18560            0.01       0            2020-12-21 14:47:08  ABONO CLIENTE / AJUSTE SALDO

AJCP            30                -0.99             FACP             18563            -1.01       0            2020-12-21 14:47:08  ABONO CLIENTE / AJUSTE SALDO

AJCP            30                -0.99             FACP             18566            0.01       0            2020-12-21 14:47:09  ABONO CLIENTE / AJUSTE SALDO

AJCP            30                -0.99             FACP             18567            0.02       0            2020-12-21 14:47:09  ABONO CLIENTE / AJUSTE SALDO

AJCP            30                -0.99             FACP             18568            0.01       0            2020-12-21 14:47:10  ABONO CLIENTE / AJUSTE SALDO

AJCP            30                -0.99             FACP             18570            -0.01       0            2020-12-21 14:47:10  ABONO CLIENTE / AJUSTE SALDO

AJCP            30                -0.99             FACP             18574            -0.02       0            2020-12-21 14:47:10  ABONO CLIENTE / AJUSTE SALDO

AJCP            30                -0.99             FACP             18575            0.32       0            2020-12-21 14:47:11  ABONO CLIENTE / AJUSTE SALDO

AJCP            30                -0.99             FACP             18580            -0.01       0            2020-12-21 14:47:11  ABONO CLIENTE / AJUSTE SALDO

AJCP            30                -0.99             FACP             18597            -0.3       0            2020-12-21 14:47:12  ABONO CLIENTE / AJUSTE SALDO

AJCP            30                -0.99             FACP             18598            -0.01       0            2020-12-21 14:47:12  ABONO CLIENTE / AJUSTE SALDO

