*********************************************************************************************
PROCESO DE SALDADO DE REMANENTES
*********************************************************************************************
---------------------------------------------------------------------------------------------
Área Corregida           FACTURAS TIENDAS
Fecha y Hora de Inicio:  2020-05-02 11:50:29
---------------------------------------------------------------------------------------------
Comienza con Este proceso elimina pequeños saldos pendientes en documentos para que ya no
aparezcan como documentos con saldos pendientes, el proceso recupera los documentos en el
rango de fechas con un pendiente menor o igual al monto Termina con pendiente a eliminar
y los salda con documentos creados para este propósito.
---------------------------------------------------------------------------------------------
Para la realización de este proceso el usuario eligió las siguientes opciones:


Fecha Inicial de la eliminación:2020-03-01

Fecha Final de la eliminación:2020-04-30

Monto pendiente a eliminar:1.00 PESO MEXICANO


                                   				DOCUMENTOS CREADOS CON EL AJUSTE


SERIE AJUSTE    FOLIO AJUSTE    SALDO AJUSTADO    SERIE FACTURA    FOLIO FACTURA    ABONADO    PENDIENTE    FECHA ABONO         CONCEPTO ABONO


AJCP            1                -1.29             FACP             15467            -0.01       0            2020-05-02 11:50:29  ABONO CLIENTE / AJUSTE SALDO

AJCP            1                -1.29             FACP             15461            0.18       0            2020-05-02 11:50:29  ABONO CLIENTE / AJUSTE SALDO

AJCP            1                -1.29             FACP             15477            -0.01       0            2020-05-02 11:50:30  ABONO CLIENTE / AJUSTE SALDO

AJCP            1                -1.29             FACP             15473            -0.02       0            2020-05-02 11:50:30  ABONO CLIENTE / AJUSTE SALDO

AJCP            1                -1.29             FACP             15479            -0.01       0            2020-05-02 11:50:30  ABONO CLIENTE / AJUSTE SALDO

AJCP            1                -1.29             FACP             15662            0.14       0            2020-05-02 11:50:30  ABONO CLIENTE / AJUSTE SALDO

AJCP            1                -1.29             FACP             15663            -0.61       0            2020-05-02 11:50:30  ABONO CLIENTE / AJUSTE SALDO

AJCP            1                -1.29             FACP             15668            0.39       0            2020-05-02 11:50:31  ABONO CLIENTE / AJUSTE SALDO

AJCP            1                -1.29             FACP             15812            -0.03       0            2020-05-02 11:50:31  ABONO CLIENTE / AJUSTE SALDO

AJCP            1                -1.29             FACP             15808            0.3       0            2020-05-02 11:50:31  ABONO CLIENTE / AJUSTE SALDO

AJCP            1                -1.29             FACP             15821            -0.07       0            2020-05-02 11:50:31  ABONO CLIENTE / AJUSTE SALDO

AJCP            1                -1.29             FACP             15830            0.23       0            2020-05-02 11:50:31  ABONO CLIENTE / AJUSTE SALDO

AJCP            1                -1.29             FACP             15828            0.4       0            2020-05-02 11:50:32  ABONO CLIENTE / AJUSTE SALDO

AJCP            1                -1.29             FACP             15842            0.1       0            2020-05-02 11:50:32  ABONO CLIENTE / AJUSTE SALDO

AJCP            1                -1.29             FACP             15849            -0.2       0            2020-05-02 11:50:32  ABONO CLIENTE / AJUSTE SALDO

AJCP            1                -1.29             FACP             15889            -0.44       0            2020-05-02 11:50:32  ABONO CLIENTE / AJUSTE SALDO

AJCP            1                -1.29             FACP             15881            -0.71       0            2020-05-02 11:50:32  ABONO CLIENTE / AJUSTE SALDO

AJCP            1                -1.29             FACP             15882            0.35       0            2020-05-02 11:50:33  ABONO CLIENTE / AJUSTE SALDO

