*********************************************************************************************
PROCESO DE SALDADO DE REMANENTES
*********************************************************************************************
---------------------------------------------------------------------------------------------
Área Corregida           FACTURAS TIENDAS
Fecha y Hora de Inicio:  2020-09-15 10:27:45
---------------------------------------------------------------------------------------------
Comienza con Este proceso elimina pequeños saldos pendientes en documentos para que ya no
aparezcan como documentos con saldos pendientes, el proceso recupera los documentos en el
rango de fechas con un pendiente menor o igual al monto Termina con pendiente a eliminar
y los salda con documentos creados para este propósito.
---------------------------------------------------------------------------------------------
Para la realización de este proceso el usuario eligió las siguientes opciones:


Fecha Inicial de la eliminación:2020-01-01

Fecha Final de la eliminación:2020-08-31

Monto pendiente a eliminar:1.00 PESO MEXICANO


                                   				DOCUMENTOS CREADOS CON EL AJUSTE


SERIE AJUSTE    FOLIO AJUSTE    SALDO AJUSTADO    SERIE FACTURA    FOLIO FACTURA    ABONADO    PENDIENTE    FECHA ABONO         CONCEPTO ABONO


AJCP            23                0.76             FACP             17593            0.1       0            2020-09-15 10:27:45  ABONO CLIENTE / AJUSTE SALDO

AJCP            23                0.76             FACP             17627            0.01       0            2020-09-15 10:27:46  ABONO CLIENTE / AJUSTE SALDO

AJCP            23                0.76             FACP             17628            0.35       0            2020-09-15 10:27:46  ABONO CLIENTE / AJUSTE SALDO

AJCP            23                0.76             FACP             17611            0.06       0            2020-09-15 10:27:46  ABONO CLIENTE / AJUSTE SALDO

AJCP            23                0.76             FACP             17608            -0.11       0            2020-09-15 10:27:47  ABONO CLIENTE / AJUSTE SALDO

AJCP            23                0.76             FACP             17617            0.18       0            2020-09-15 10:27:47  ABONO CLIENTE / AJUSTE SALDO

AJCP            23                0.76             FACP             17627            0.01       504            2020-09-15 10:27:47  ABONO CLIENTE / AJUSTE SALDO

AJCP            23                0.76             FACP             17633            -0.05       0            2020-09-15 10:27:48  ABONO CLIENTE / AJUSTE SALDO

AJCP            23                0.76             FACP             17614            0.11       0            2020-09-15 10:27:48  ABONO CLIENTE / AJUSTE SALDO

AJCP            23                0.76             FACP             17648            -0.19       0            2020-09-15 10:27:48  ABONO CLIENTE / AJUSTE SALDO

AJCP            23                0.76             FACP             17656            -0.4       0            2020-09-15 10:27:49  ABONO CLIENTE / AJUSTE SALDO

AJCP            23                0.76             FACP             17636            0.45       0            2020-09-15 10:27:49  ABONO CLIENTE / AJUSTE SALDO

AJCP            23                0.76             FACP             17688            -0.3       0            2020-09-15 10:27:49  ABONO CLIENTE / AJUSTE SALDO

AJCP            23                0.76             FACP             17674            0.39       0            2020-09-15 10:27:50  ABONO CLIENTE / AJUSTE SALDO

AJCP            23                0.76             FACP             17660            0.21       0            2020-09-15 10:27:50  ABONO CLIENTE / AJUSTE SALDO

AJCP            23                0.76             FACP             17724            0.48       0            2020-09-15 10:27:50  ABONO CLIENTE / AJUSTE SALDO

AJCP            23                0.76             FACP             17706            0.4       0            2020-09-15 10:27:51  ABONO CLIENTE / AJUSTE SALDO

AJCP            23                0.76             FACP             17718            0.4       0            2020-09-15 10:27:51  ABONO CLIENTE / AJUSTE SALDO

